Unnamed: 0,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,year
0,1,University of Oxford,98.5,10,96.6,5,100.0,2,99.0,5,98.7,77,97.5,14,"21,750",10.9,42%,49 : 51,2024
1,2,Stanford University,98.0,20,99.0,1,97.8,8,99.6,2,100.0,25,87.0,167,"14,517",6.4,23%,47 : 53,2024
2,3,Massachusetts Institute of Technology,97.9,30,98.6,2,96.2,11,99.7,1,100.0,16,93.8,66,"11,085",8.0,33%,41 : 59,2024
3,4,Harvard University,97.8,40,97.7,3,99.9,3,99.4,3,84.2,216,90.8,119,"20,050",9.0,25%,51 : 49,2024
4,5,University of Cambridge,97.5,50,95.8,7,100.0,1,98.0,12,87.9,180,97.4,15,"20,565",11.5,38%,48 : 52,2024
5,6,Princeton University,96.9,60,96.3,6,97.9,7,98.8,7,95.1,118,89.1,135,"7,753",7.3,23%,47 : 53,2024
6,7,California Institute of Technology,96.5,70,96.6,4,98.0,6,95.9,38,100.0,2,90.6,123,"2,240",6.1,33%,37 : 63,2024
7,8,Imperial College London,95.1,80,90.9,12,95.5,12,98.6,8,90.9,157,98.3,6,"20,275",11.8,61%,42 : 58,2024
8,9,University of California,94.6,90,87.2,18,98.8,4,99.0,4,99.4,63,86.8,171,"39,991",17.9,22%,52 : 48,2024
9,10,Yale University,94.2,100,94.0,10,94.9,13,97.7,18,86.5,192,82.4,216,"11,924",5.2,21%,51 : 49,2024
10,11,ETH Zurich,93.1,110,87.6,16,96.8,10,95.6,41,82.9,229,95.6,36,"22,619",15.4,43%,33 : 67,2024
11,12,Tsinghua University,92.4,120,95.3,9,98.1,5,93.2,73,99.9,38,51.7,750,"38,518",11.2,10%,,2024
12,13,The University of Chicago,92.1,130,89.6,13,91.2,19,97.6,20,93.8,129,82.3,219,"15,792",6.2,36%,47 : 53,2024
13,14,Peking University,91.8,140,95.6,8,97.3,9,87.2,172,98.8,72,70.2,404,"33,064",10.9,14%,,2024
14,15,Johns Hopkins University,91.1,150,84.4,23,92.3,17,97.2,27,100.0,11,84.2,198,"15,772",4.1,28%,56 : 44,2024
15,16,University of Pennsylvania,91.0,160,87.7,15,89.7,21,97.6,23,97.7,90,78.8,268,"21,312",6.2,22%,54 : 46,2024
16,17,Columbia University,90.9,170,88.6,14,89.7,20,97.4,25,75.2,332,86.9,168,"25,914",5.2,35%,,2024
17,18,"University of California, Los Angeles",90.1,180,85.7,19,91.9,18,96.4,34,92.3,143,74.3,341,"42,634",9.6,15%,56 : 44,2024
18,19,National University of Singapore,90.0,190,78.8,25,94.0,16,95.4,47,100.0,19,91.1,116,"33,334",20.0,24%,49 : 51,2024
19,20,Cornell University,89.5,200,85.7,20,88.7,22,97.6,22,69.4,447,86.0,175,"23,620",10.0,24%,51 : 49,2024
