,rank,name,scores_teaching
0,1,University of Oxford,90.5
1,2,California Institute of Technology,92.1
2,3,University of Cambridge,91.4
3,4,Stanford University,92.8
4,5,Massachusetts Institute of Technology,90.5
5,6,Princeton University,90.3
6,7,Harvard University,89.2
7,8,Yale University,92.0
8,9,The University of Chicago,89.1
9,10,Imperial College London,84.5
10,11,University of Pennsylvania,87.5
11,12,Johns Hopkins University,81.7
12,=13,University of California,83.0
13,=13,ETH Zurich,81.8
14,15,UCL,77.8
15,16,Columbia University,85.6
16,17,University of California,83.1
17,18,University of Toronto,76.6
18,19,Cornell University,79.7
19,20,Duke University,82.4
