name,scores_overall,rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,year
University of Oxford,95.4,10,90.5,6,99.6,1,98.4,26,65.5,178,96.4,22,"20,665",11.2,41%,46 : 54,2020
California Institute of Technology,94.5,20,92.1,2,97.2,4,97.9,35,88.0,63,82.5,151,"2,240",6.4,30%,34 : 66,2020
University of Cambridge,94.4,30,91.4,4,98.7,2,95.8,62,59.3,236,95.0,37,"18,980",10.9,37%,47 : 53,2020
Stanford University,94.3,40,92.8,1,96.4,5,99.9,9,66.2,172,79.5,188,"16,135",7.3,23%,43 : 57,2020
Massachusetts Institute of Technology,93.6,50,90.5,5,92.4,10,99.5,14,86.9,70,89.0,99,"11,247",8.6,34%,39 : 61,2020
Princeton University,93.2,60,90.3,7,96.3,6,98.8,22,58.6,247,81.1,172,"7,983",8.1,25%,45 : 55,2020
Harvard University,93.0,70,89.2,8,98.6,3,99.1,19,47.3,395,76.3,217,"20,823",9.2,24%,49 : 51,2020
Yale University,91.7,80,92.0,3,94.8,7,97.3,43,52.4,310,68.7,285,"12,402",5.4,20%,50 : 50,2020
The University of Chicago,90.2,90,89.1,9,91.4,11,96.7,49,52.7,306,76.0,218,"13,833",5.7,28%,46 : 54,2020
Imperial College London,89.8,100,84.5,15,87.6,21,97.0,47,69.9,154,97.1,18,"16,760",11.6,56%,38 : 62,2020
University of Pennsylvania,89.6,110,87.5,11,90.4,15,98.2,30,74.0,131,65.0,319,"20,578",6.5,21%,52 : 48,2020
Johns Hopkins University,89.2,120,81.7,20,91.4,12,98.3,27,91.3,51,73.2,245,"16,171",4.5,26%,52 : 48,2020
"University of California, Berkeley",88.3,130,83.0,17,90.6,13,99.2,16,46.1,420,70.4,269,"41,081",13.7,17%,50 : 50,2020
ETH Zurich,88.3,140,81.8,19,92.8,9,90.3,122,56.8,261,98.2,11,"18,956",12.5,39%,32 : 68,2020
UCL,87.1,150,77.8,24,88.7,19,96.1,59,42.7,527,96.2,24,"32,665",10.6,52%,57 : 43,2020
Columbia University,87.0,160,85.6,14,82.6,27,98.2,29,44.8,453,79.3,191,"26,586",5.8,37%,0,2020
"University of California, Los Angeles",86.8,170,83.1,16,88.6,20,97.3,42,51.3,324,64.1,330,"41,066",9.4,17%,54 : 46,2020
University of Toronto,85.5,180,76.6,27,89.5,18,93.6,88,50.5,339,84.7,133,"73,370",20.1,21%,59 : 41,2020
Cornell University,85.1,190,79.7,21,86.0,23,96.6,50,37.1,890,73.4,243,"22,319",9.8,25%,49 : 51,2020
Duke University,84.0,200,82.4,18,76.8,35,97.0,46,99.9,13,61.5,366,"15,309",4.3,19%,49 : 51,2020
University of Michigan-Ann Arbor,83.8,210,79.4,22,86.1,22,94.9,76,47.7,378,59.2,395,"42,982",8.3,17%,49 : 51,2020
Northwestern University,83.5,220,74.2,28,83.8,24,97.8,36,78.4,111,64.1,331,"17,951",12.8,20%,49 : 51,2020
Tsinghua University,82.6,230,86.6,12,94.0,8,74.6,309,100.0,9,47.4,598,"38,783",12.0,11%,34 : 66,2020
Peking University,82.3,240,89.1,10,90.0,16,73.2,336,86.6,72,59.6,391,"39,575",11.5,15%,46 : 54,2020
National University of Singapore,81.9,250,76.8,25,90.4,14,76.9,271,58.8,243,95.5,32,"30,869",17.9,28%,51 : 49,2020
University of Washington,81.6,260,72.2,31,82.2,28,98.6,25,47.5,390,60.4,380,"45,692",11.1,16%,53 : 47,2020
Carnegie Mellon University,81.3,270,65.9,42,82.7,26,98.2,28,50.5,337,80.6,175,"13,430",13.6,48%,41 : 59,2020
London School of Economics and Political Science,81.3,280,69.0,34,83.0,25,92.8,96,35.1,1162,93.2,59,"10,570",12.1,71%,53 : 47,2020
New York University,81.1,290,76.8,26,77.5,32,96.5,51,38.7,747,65.4,314,"44,466",8.9,33%,57 : 43,2020
University of Edinburgh,79.4,300,67.3,38,74.1,38,96.4,54,38.9,732,93.8,52,"29,435",12.8,41%,60 : 40,2020
"University of California, San Diego",78.8,310,62.6,50,78.9,29,97.7,37,90.3,57,63.7,335,"33,579",13.0,23%,46 : 54,2020
LMU Munich,77.8,320,68.4,36,77.0,34,88.8,134,100.0,6,67.2,297,"34,519",34.7,17%,61 : 39,2020
University of Melbourne,77.8,330,65.9,43,74.1,39,89.8,128,76.3,122,93.1,62,"47,385",26.3,46%,56 : 44,2020
University of British Columbia,76.3,340,61.5,56,73.2,41,92.5,97,43.8,484,94.4,40,"52,108",18.1,32%,55 : 45,2020
University of Hong Kong,75.9,350,69.5,33,77.2,33,76.6,276,59.7,231,98.6,8,"18,260",18.2,44%,54 : 46,2020
King’s College London,75.7,360,61.3,57,68.5,51,94.8,78,45.6,428,95.6,30,"26,055",12.5,44%,62 : 38,2020
The University of Tokyo,75.7,370,85.9,13,89.6,17,60.7,495,77.4,116,38.2,810,"25,913",10.6,12%,0,2020
École Polytechnique Fédérale de Lausanne,75.4,380,66.6,40,66.3,57,88.3,141,66.4,169,98.6,7,"10,492",11.4,59%,28 : 72,2020
Georgia Institute of Technology,75.4,390,60.2,58,76.4,36,90.4,120,61.6,213,77.1,212,"21,372",18.3,27%,33 : 67,2020
University of Texas at Austin,75.4,400,68.2,37,76.2,37,93.2,92,46.6,409,39.1,793,"49,165",17.2,10%,52 : 48,2020
Karolinska Institute,74.7,410,55.4,81,71.4,45,96.1,58,71.2,146,81.2,170,"7,777",9.0,20%,68 : 32,2020
McGill University,74.3,420,65.0,44,71.9,43,84.7,188,42.8,518,90.4,87,"31,294",13.0,29%,58 : 42,2020
Technical University of Munich,74.1,430,64.6,46,70.4,48,85.5,175,100.0,8,72.9,249,"40,472",47.8,27%,34 : 66,2020
Universität Heidelberg,73.5,440,67.1,39,60.3,74,96.2,56,54.6,285,67.5,294,"20,800",16.1,18%,54 : 46,2020
KU Leuven,73.2,450,58.7,61,73.9,40,85.3,178,99.3,25,71.8,259,"45,049",36.3,15%,50 : 50,2020
Paris Sciences et Lettres – PSL Research University Paris,73.2,460,71.6,32,71.4,46,77.0,269,52.2,313,78.7,195,"21,298",11.5,26%,46 : 54,2020
The Hong Kong University of Science and Technology,73.1,470,57.4,69,66.1,58,89.8,127,71.9,140,97.7,14,"10,125",22.3,31%,0,2020
University of Illinois at Urbana-Champaign,72.9,480,63.2,49,78.0,31,84.4,193,47.9,374,54.3,469,"44,916",17.9,24%,47 : 53,2020
"Nanyang Technological University, Singapore",72.9,490,57.6,65,70.4,47,84.9,186,76.5,121,95.1,36,"25,088",15.9,27%,48 : 52,2020
Australian National University,72.1,500,54.4,86,69.7,50,88.4,137,46.4,414,95.5,31,"17,359",17.8,44%,52 : 48,2020
University of Wisconsin-Madison,72.0,510,68.8,35,70.3,49,85.3,180,46.3,418,47.4,600,"39,154",10.0,13%,0,2020
Washington University in St Louis,71.5,520,64.2,47,57.5,83,98.8,23,40.7,621,57.1,430,"13,401",7.5,20%,0,2020
Brown University,70.0,530,64.0,48,56.1,90,94.9,73,36.5,951,61.4,371,"9,391",10.8,20%,0,2020
University of North Carolina at Chapel Hill,69.9,540,59.7,59,63.2,65,96.9,48,43.9,479,38.0,814,"35,419",9.4,8%,57 : 43,2020
"University of California, Davis",69.7,550,62.4,52,66.9,53,83.2,203,51.4,320,62.4,353,"39,164",12.0,14%,58 : 42,2020
University of Manchester,69.7,560,56.9,75,63.8,61,85.2,181,44.7,458,91.0,83,"37,040",14.4,40%,53 : 47,2020
"University of California, Santa Barbara",69.6,570,47.9,124,63.6,62,96.4,52,84.5,87,68.1,290,"24,089",27.6,16%,52 : 48,2020
Chinese University of Hong Kong,69.6,580,55.8,79,62.8,68,84.5,191,55.2,276,97.8,13,"18,340",18.6,32%,0,2020
Wageningen University & Research,69.4,590,49.3,108,57.1,86,96.1,60,100.0,10,81.9,159,"13,914",21.3,27%,53 : 47,2020
The University of Sydney,69.3,600,51.0,100,61.5,71,90.7,118,67.7,163,89.2,97,"45,111",20.1,39%,58 : 42,2020
Boston University,68.5,610,57.3,70,55.6,92,95.7,63,41.4,582,64.4,324,"25,662",11.6,27%,60 : 40,2020
University of Amsterdam,68.1,620,48.0,122,63.4,63,91.2,114,45.3,437,82.0,158,"26,723",13.5,18%,56 : 44,2020
University of Southern California,68.1,630,54.7,85,59.3,78,93.1,94,39.7,681,66.2,306,"36,929",11.7,25%,53 : 47,2020
